x,numerical,analytical,error
3.87432,6.05708,6.05757,0.000488803
3.88061,6.06186,6.0624,0.000539257
3.8869,6.06663,6.06723,0.000596572
3.89318,6.07139,6.07205,0.000661675
3.89947,6.07614,6.07687,0.000735616
3.90576,6.08088,6.08169,0.000819586
3.91205,6.0856,6.08651,0.000914932
3.91834,6.0903,6.09133,0.00102318
3.92463,6.09499,6.09613,0.00114606
3.93092,6.09965,6.10094,0.00128554
3.93721,6.10429,6.10574,0.00144382
3.9435,6.10891,6.11053,0.00162342
3.94979,6.11349,6.11532,0.00182717
3.95608,6.11804,6.12009,0.00205829
3.96237,6.12254,6.12486,0.00232041
3.96866,6.127,6.12961,0.00261761
3.97495,6.1314,6.13436,0.00295455
3.98124,6.13574,6.13908,0.00333646
3.98753,6.14002,6.14379,0.00376924
3.99382,6.14421,6.14847,0.00425956
4.00011,6.14832,6.15313,0.00481494
4.0064,6.15232,6.15776,0.00544388
4.01268,6.1562,6.16236,0.00615591
4.01897,6.15995,6.16691,0.0069618
4.02526,6.16355,6.17142,0.00787366
4.03155,6.16697,6.17588,0.00890511
4.03784,6.1702,6.18027,0.0100715
4.04413,6.1732,6.18459,0.0113899
4.05042,6.17594,6.18882,0.0128796
4.05671,6.1784,6.19296,0.0145622
4.063,6.18052,6.19698,0.016462
4.06929,6.18226,6.20087,0.0186058
4.07558,6.18357,6.2046,0.0210238
4.08187,6.1844,6.20815,0.0237496
4.08816,6.18467,6.21149,0.0268205
4.09445,6.1843,6.21458,0.0302779
4.10074,6.18322,6.21739,0.0341677
4.10703,6.18133,6.21987,0.0385405
