x,numerical
5.91211,2.79164
5.9184,2.79647
5.92469,2.80131
5.93097,2.80615
5.93726,2.81099
5.94355,2.81583
5.94984,2.82067
5.95613,2.8255
5.96242,2.83034
5.96871,2.83518
5.975,2.84002
5.98129,2.84486
5.98758,2.8497
5.99387,2.85453
6.00016,2.85937
6.00645,2.86421
6.01274,2.86905
6.01903,2.87389
6.02532,2.87873
6.03161,2.88356
6.0379,2.8884
6.04419,2.89324
6.05047,2.89808
6.05676,2.90292
6.06305,2.90776
6.06934,2.91259
6.07563,2.91743
6.08192,2.92227
6.08821,2.92711
6.0945,2.93195
6.10079,2.93679
6.10708,2.94162
6.11337,2.94646
6.11966,2.9513
6.12595,2.95614
6.13224,2.96098
6.13853,2.96582
6.14482,2.97065
6.15111,2.97549
6.1574,2.98033
6.16369,2.98517
6.16997,2.99001
6.17626,2.99485
6.18255,2.99968
6.18884,3.00452
6.19513,3.00936
6.20142,3.0142
6.20771,3.01904
6.214,3.02388
6.22029,3.02871
6.22658,3.03355
6.23287,3.03839
6.23916,3.04323
6.24545,3.04807
6.25174,3.05291
6.25803,3.05774
6.26432,3.06258
6.27061,3.06742
6.2769,3.07226
6.28319,3.0771
